corpus,sample_bucket_primary,doc_id,chunk_id,sentence_text,a_raw_text,a_class,d_surface,d_class,i_phrase_text,c_texts,b_text,o_local_present,o_local_text,statement_type_candidate,iad_rule_type_primary,iad_rule_type_hits,iad_rule_type_n_hits,iad_boundary,iad_position,iad_choice,iad_information,iad_scope,iad_aggregation,iad_payoff,manual_keep_as_rule,manual_primary_rule_type,manual_secondary_rule_types,manual_agrees_with_model,manual_confidence,manual_notes,manual_reviewer
Full corpus,position,b03073832e558af6,355875,"Likewise, GenAI-based tutoring models that require high bandwidth access to a Large Language Model (LLM) may generate high per-student costs, which can result in unaffordable pricing for most students.",GenAI - based tutoring models that require high bandwidth access to a Large Language Model ( LLM ),explicit,may,permission,"generate high per - student costs , which can result in unaffordable pricing for most students",,models,True,"Likewise, GenAI-based tutoring models that require high bandwidth access to a Large Language Model (LLM) may generate high per-student costs, which can result in unaffordable pricing for most students.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,6e50bb42a7856f81,202538,"The appeal shall be brought to the attention of the executive presidency of this institution, with the understanding that filing it outside of this period will result in the appeal being inadmissible.",The appeal,explicit,shall,obligation,brought,with the understanding that filing it outside of this period will result in the appeal being inadmissible,,True,"The appeal shall be brought to the attention of the executive presidency of this institution, with the understanding that filing it outside of this period will result in the appeal being inadmissible.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,54c82c137a86cdab,175462,Different bodies also have their own security policies which may not always be aligned.,which,explicit,may,prohibition,aligned,,,True,This results in further delays and negotiation.,rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,bd84e63f5b622b73,377582,"Without prejudice to the tasks and po wers of the compet ent super visor y author ity and the pro visions of Chapt er VIII, a body as refer red to in paragraph 1 of this Ar ticle shall, subject to appropr iat e safeg uards, take appropr iate action in cases of infr ing ement of the code by a controller or processor , including suspension or excl usion of the controller or processor concer ned from the code.",,implicit,shall,obligation,subject,"subject to appropr iat e safeg uards, take appropr iate action in cases of infr ing ement of the code by a controller or processor , including suspension or excl usion of the controller or processor concer ned from the code.",,True,"Without prejudice to the tasks and po wers of the compet ent super visor y author ity and the pro visions of Chapt er VIII, a body as refer red to in paragraph 1 of this Ar ticle shall, subject to appropr iat e safeg uards, take appropr iate action in cases of infr ing ement of the code by a controller or processor , including suspension or excl usion of the controller or processor concer ned from the code.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,a6c2e8f6888b9ad8,340928,"The negligent application of Generative AI may cause the agency to infringe intellectual property rights, so users Users must consider the following issues:  Accuracy of the content  The consequences of using or disseminating the content that lead to wrongdoing.",The negligent application of Generative AI,explicit,may,permission,cause,,,True,"The negligent application of Generative AI may cause the agency to infringe intellectual property rights, so users Users must consider the following issues:  Accuracy of the content  The consequences of using or disseminating the content that lead to wrongdoing.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,f6a416801fe6ae28,468217,"where appropr iat e. Thus, the upgrades should lead to an extensi on of the supercom puters’ lifet ime, increase the operational performa nce, and provide new functionalities to address the ev olution of user needs.",the upgrades,explicit,should,obligation,lead,,,True,"where appropr iat e. Thus, the upgrades should lead to an extensi on of the supercom puters’ lifet ime, increase the operational performa nce, and provide new functionalities to address the ev olution of user needs.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,choice,03807803a9187364,7865,"6 (a) ARTICLE 53; FINDINGS AND SENTENCING.—Sec-7 tion 853 of title 10, United States Code (article 53 of the 8 Uniform Code of Military Justice), is amended— 9 (1) in subsection (b), by amending paragraph 10 (1) to read as follows: 11 ‘‘(1) G ENERAL AND SPECIAL COURTS -MAR-12 TIAL.—Except as provided in subsection (c) for cap-13 ital offenses, if the accused is convicted of an offense 14 in a trial by general or special court-martial, the 15 military judge shall sentence the accused.","11 ‘ ‘ ( 1 ) G ENERAL AND SPECIAL COURTS -MAR-12 TIAL.—Except as provided in subsection ( c ) for cap-13 ital offenses ,",explicit,shall,obligation,sentence the accused,if the accused is convicted of an offense 14 in a trial by general or special court - martial,,True,"6 (a) ARTICLE 53; FINDINGS AND SENTENCING.—Sec-7 tion 853 of title 10, United States Code (article 53 of the 8 Uniform Code of Military Justice), is amended— 9 (1) in subsection (b), by amending paragraph 10 (1) to read as follows: 11 ‘‘(1) G ENERAL AND SPECIAL COURTS -MAR-12 TIAL.—Except as provided in subsection (c) for cap-13 ital offenses, if the accused is convicted of an offense 14 in a trial by general or special court-martial, the 15 military judge shall sentence the accused.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,a87e06d627616ec5,348746,"Organizations should use this knowledge to consider the specifics of the AI tool under consideration, examining both the design of the tool as well as the credibility of the claims that it will lead to improvements over the status quo.",Organizations,explicit,should,obligation,use this knowledge,,tool,True,"Organizations should use this knowledge to consider the specifics of the AI tool under consideration, examining both the design of the tool as well as the credibility of the claims that it will lead to improvements over the status quo.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,04b688f2ea13fc0f,28550,"Prov iders of online platf or ms should send a pr ior war ning bef ore deciding on the suspension, whic h should include the reasons f or the possible",Prov iders of online platf or ms,explicit,should,obligation,send a pr ior war,,,True,"Prov iders of online platf or ms should send a pr ior war ning bef ore deciding on the suspension, whic h should include the reasons f or the possible",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,816f979923541208,260388,"system (pursuant to Section 873 of the Duncan Hunter National Defense Authorization Act for Fiscal Year 2009 (Public Law 110–417)), should be expanded to include not just discre- tionary but also statutory suspension and debarment; and (4) Pro- vide any other recommendations the AIRC finds relevant.",system ( pursuant to Section 873 of the Duncan Hunter National Defense Authorization Act for Fiscal Year 2009 ( Public Law 110–417 ) ),explicit,should,obligation,expanded|vide any other recommendations the AIRC finds relevant,"pursuant to Section 873 of the Duncan Hunter National Defense Authorization Act for Fiscal Year 2009 (Public Law 110–417)), should be expanded to include not just discre- tionary but also statutory suspension and debarment; and (4) Pro- vide any other recommendations the AIRC finds relevant.",system,True,"system (pursuant to Section 873 of the Duncan Hunter National Defense Authorization Act for Fiscal Year 2009 (Public Law 110–417)), should be expanded to include not just discre- tionary but also statutory suspension and debarment; and (4) Pro- vide any other recommendations the AIRC finds relevant.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,b65606757c214256,366007,"Vertical concerns • Big Data Types and Semantics: The following 6 Big Data types have been identified, based on the fact that they often lead to the use of different techniques and mechanisms in the horizontal concerns, which should be considered, for instance, for data analytics and data storage: (1) Structured data; (2) Time series data; (3) Geospatial data; (4) Media, Image, Video and Audio data; (5) Text data, including Natural Language Processing data and Genomics representations; and (6) Graph data, Network/Web data and Metadata.",which,explicit,should,obligation,considered,,Data,True,"Vertical concerns • Big Data Types and Semantics: The following 6 Big Data types have been identified, based on the fact that they often lead to the use of different techniques and mechanisms in the horizontal concerns, which should be considered, for instance, for data analytics and data storage: (1) Structured data; (2) Time series data; (3) Geospatial data; (4) Media, Image, Video and Audio data; (5) Text data, including Natural Language Processing data and Genomics representations; and (6) Graph data, Network/Web data and Metadata.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,4995391ac1fbfdb3,156230,"Additionally, data-driven and knowledge-based approaches must be duly integrated as they result in more accurate knowledge generation.",data - driven and knowledge - based approaches,explicit,must,obligation,integrated,,data,True,"Additionally, data-driven and knowledge-based approaches must be duly integrated as they result in more accurate knowledge generation.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,862ea4b3d51e917d,279980,A punishable offence committed before this federal law enters into force shall be judged in accordance with the legal situation that is more favourable for the off ender with regard to its overall effects; this shall also apply to appellate proceedings.,A punishable offence committed before this federal law enters into force,explicit,shall,obligation,judged,before this federal law enters into force|in accordance with the legal situation that is more favourable for the off ender with regard to its overall effects; this shall also apply to appellate proceedings.|in accordance with the legal situation that is more favourable for the off ender with regard to its overall effects,,True,A punishable offence committed before this federal law enters into force shall be judged in accordance with the legal situation that is more favourable for the off ender with regard to its overall effects; this shall also apply to appellate proceedings.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,choice,65f46c3b632759a6,194173,"Emphasis must be given on laying down specific indicators, their measurement techniques, tools and sandboxes through which, based on sectoral use case, AI systems may be adjudged for their trustworthiness.",Emphasis,explicit,must,obligation,given,,tools,True,It should also be kept in mind that the process of procurement should not lead to administrative delays or simply exist as a mechanism to issue clearances but must be setup to guide responsible procurement of AI at project level. 3.44.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,,,,,,,
Full corpus,information,03807803a9187364,17776,"number of covered employees whose se-17 curity clearance was revoked during the year prior 18 to the year in which the notification is made; and 19 ‘‘(2) for each employee counted under para-20 graph (1), the length of time such employee has 21 been employed at the Administration, as the case 22 may be, since such revocation.",the case 22,explicit,may,permission,be,,,True,"number of covered employees whose se-17 curity clearance was revoked during the year prior 18 to the year in which the notification is made; and 19 ‘‘(2) for each employee counted under para-20 graph (1), the length of time such employee has 21 been employed at the Administration, as the case 22 may be, since such revocation.",rule_candidate,information,choice|information,2,0,0,1,1,0,0,0,,,,,,,
Full corpus,information,4d46ab437e64b15c,161308,"The report noted that AI has inherent design flaws and inaccuracies, the potential to reflect the developer’s bias and lead to erroneous results, and the potential to motivate commercial surveillance due to the massive data requirements of technological development, and concluded that ""governments, platforms, and others must exercise great caution in either mandating the use of, or over-relying on, these tools even for the important purpose of reducing harms.""","governments , platforms , and others",explicit,must,obligation,exercise great caution,"in either mandating the use of , or over - relying on , these tools even for the important purpose of reducing harms",data,True,"The report noted that AI has inherent design flaws and inaccuracies, the potential to reflect the developer’s bias and lead to erroneous results, and the potential to motivate commercial surveillance due to the massive data requirements of technological development, and concluded that ""governments, platforms, and others must exercise great caution in either mandating the use of, or over-relying on, these tools even for the important purpose of reducing harms.""",rule_candidate,information,choice|information|scope,3,0,0,1,1,1,0,0,,,,,,,
Full corpus,information,6e50bb42a7856f81,203111,"It is noted that the administrative file can be photocopied from seven thirty minutes to eleven thirty minutes on business days, and will be available for use at this Local Office, located in Upala, three hundred meters east of Upala Hospital.",the administrative file,explicit,can,permission,be,,,True,"They are also informed that against this resolution, ordinary appeals for revocation with subsidiary appeal are admissible, which must be filed before this Legal Representation within the third business day immediately following the date of the last notification to the parties, being that the revocation appeal will be known by this Legal Representation, and the appeal by the Executive Presidency of this institution, in the understanding that doing so outside of said term the appeal becomes inadmissible.",rule_candidate,information,choice|information|position,3,0,1,1,1,0,0,0,,,,,,,
