pc,label,short_description,notes,coder,category
31,"Not retained: mixed health, generative-AI, education, and systems-governance residual","Lower-ranked component combining health and care, generative AI, machine learning, foundation models, education, skills, systems, vehicles, and energy terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component is thematically diffuse across several previously identified domains.,INA,not_retained
32,"Not retained: mixed online-targeting, platform regulation, liability, and public decision-making residual","Lower-ranked component combining online targeting, platforms, regulation, risk, users, regulators, liability, public decision-making, and generative-AI terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component mixes platform regulation with liability and public-sector decision-making residuals.,INA,not_retained
33,Not retained: multilingual data-protection and statutory-language residual,Lower-ranked component dominated by French data-protection vocabulary alongside Spanish and statutory language; not retained as a stable substantive governance dimension.,Reviewed manually; excluded from substantive interpretation because the component primarily reflects multilingual legal-language structure.,INA,not_retained
34,"Not retained: mixed defence, statutory amendment, and transportation residual","Lower-ranked component combining defence, national-security, generative-AI, statutory-amendment, Coast Guard, transportation, and federal code terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component blends defence substance with legislative-form and transportation-specific residuals.,INA,not_retained
35,"Not retained: mixed government information, foundation-models, education, and country-specific residual","Lower-ranked component combining government information, federal agencies, foundation models, education, Australia-specific terms, public services, and online-targeting residuals; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component mixes country-specific and cross-domain governance language.,INA,not_retained
36,"Not retained: mixed aviation, transport safety, defence, and generative-AI residual","Lower-ranked component combining air force, aircraft, aviation, transportation, safety, defence, security, liability, and generative-AI terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component is sectorally narrow and mixed with defence and residual statutory language.,INA,not_retained
37,Not retained: low-proportion token and mixed governance residual,"Lower-ranked component marked by low-proportion tokens and mixed health, digital, regulatory, Australian, public-sector, personal-data, and language terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component appears partly driven by tokenisation and residual mixed-governance structure.,INA,not_retained
38,Not retained: Kinyarwanda-language and mixed generative-AI residual,"Lower-ranked component combining Kinyarwanda-language terms with generative AI, health, development, bias, training, research, and UK government terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component is substantially shaped by language-specific residual structure.,INA,not_retained
39,Not retained: Kinyarwanda data-protection and mixed governance residual,"Lower-ranked component dominated by Kinyarwanda data-protection vocabulary alongside foundation-model, regulatory, public-sector, security, decision-making, and education terms; not retained as a stable substantive governance dimension.",Reviewed manually; excluded from substantive interpretation because the component primarily reflects language-specific data-protection vocabulary mixed with governance residuals.,INA,not_retained
40,"Not retained: mixed foundation-model, air-force, education, and Kinyarwanda residual","Lower-ranked component combining foundation models, air force, aircraft, space, education, training, regulation, and Kinyarwanda-language terms; not retained as a stable substantive governance dimension.","Reviewed manually; excluded from substantive interpretation because the component mixes defence, foundation-model, education, and language-specific residual patterns.",INA,not_retained
